genre,num_games,userscore_avg,metascore_avg,playtime_avg,total_copies_owned,price_avg
Action,19915,83.88%,71.99%,5:13,3271653135,868
Adventure,17466,77.50%,72%,6:05,1747037438,879
Early Access,5208,-1%,72.67%,7:05,293161854,1071
Free to Play,3509,66%,73.08%,10:36,1399717000,684
Indie,33301,74.59%,71.64%,5:21,2123063100,732
Massively Multiplayer,1328,77%,72.76%,12:30,623625000,1090
RPG,7979,78.14%,73.09%,8:14,1140737100,1033
Simulation,9105,67.33%,70.85%,7:13,881459102,1026
Sports,2297,-1%,72.94%,5:09,203536750,1016
Strategy,9075,67%,72.29%,6:49,1082572928,967
