#,Tag,Games with this tag,Votes for this tag,Tag weight,Price (median),Userscore (median),Owners (median),Playtime (median)
1,Indie,5173,277792,54,499,78%,900000,2:24
2,Action,3894,442928,114,499,79%,2100000,2:35
3,Adventure,3338,295347,88,599,79%,2100000,3:02
4,Singleplayer,2549,268405,105,999,84%,2700000,3:27
5,Casual,2469,90946,37,399,77%,900000,1:50
6,Strategy,1851,168966,91,599,77%,1800000,3:10
7,Simulation,1643,142499,87,699,75%,1500000,3:06
8,RPG,1591,188520,118,599,78%,1800000,3:40
9,Multiplayer,1419,317878,224,899,80%,3900000,3:13
10,Great Soundtrack,1275,125211,98,999,87%,2700000,3:47
11,Atmospheric,1117,142129,127,999,84%,3900000,3:52
12,2D,994,56445,57,699,85%,1800000,3:07
13,Puzzle,921,43294,47,499,84%,1200000,2:18
14,Early Access,886,99036,112,899,72%,1200000,2:25
15,Open World,823,244741,297,999,79%,4800000,4:13
16,Story Rich,813,106724,131,999,87%,3000000,4:03
17,Co-op,774,164080,212,999,82%,6010000,3:47
18,Difficult,751,61858,82,799,85%,2400000,3:18
19,Shooter,729,158027,217,599,82%,4500000,2:30
20,Sci-fi,719,78271,109,999,83%,3000000,3:12
21,First-Person,711,169133,238,999,81%,5100000,2:48
22,Horror,688,81102,118,499,79%,2700000,2:53
23,VR,672,12060,18,699,76%,600000,0:26
24,Anime,669,47556,71,499,86%,1200000,3:02
25,Pixel Graphics,665,45101,68,599,85%,1500000,3:02
26,Funny,655,76255,116,699,86%,3300000,3:01
27,Fantasy,627,58252,93,999,82%,2400000,4:08
28,Free to Play,614,189614,309,0,76%,2100000,0:43
29,Platformer,614,41631,68,599,83%,1500000,2:52
30,Female Protagonist,611,40971,67,999,85%,1500000,3:42
31,FPS,594,170979,288,499,79%,5400000,2:19
32,Survival,568,166354,293,999,77%,4200000,3:19
33,Gore,560,47207,84,599,80%,3750000,3:18
34,Violent,521,27852,53,499,75%,1800000,2:31
35,Sandbox,495,126632,256,999,81%,4800000,5:17
36,Retro,458,17432,38,499,85%,1500000,2:07
37,Comedy,445,59974,135,599,88%,2700000,3:40
38,Arcade,443,14377,32,499,82%,1200000,2:12
39,Classic,438,34332,78,999,88%,3000000,2:32
40,Third Person,404,83091,206,999,80%,6310000,4:02
41,Nudity,404,32099,79,449,82%,1650000,2:59
42,Massively Multiplayer,384,63247,165,0,70%,4500000,1:47
43,Exploration,375,63436,169,999,80%,3300000,4:19
44,Point & Click,366,20354,56,699,84%,1200000,2:37
45,Visual Novel,364,22247,61,799,87%,900000,2:44
46,Turn-Based,359,26904,75,999,82%,1500000,4:34
47,Space,348,39393,113,999,78%,1800000,2:59
48,Sports,347,15947,46,549,75%,1200000,1:43
49,Rogue-like,337,23391,69,999,83%,1500000,3:38
50,Tactical,319,56287,176,999,82%,4200000,3:33
51,Cute,318,22387,70,799,90%,1800000,3:26
52,Racing,308,31319,102,499,78%,1500000,2:12
53,Psychological Horror,298,25231,85,499,82%,2100000,2:35
54,Online Co-Op,293,76946,263,499,83%,8860000,3:34
55,Zombies,279,78294,281,699,79%,4500000,2:48
56,Family Friendly,268,12380,46,499,85%,2100000,2:13
57,Sexual Content,267,17847,67,299,83%,1200000,2:28
58,Local Co-Op,265,17631,67,999,86%,2700000,3:45
59,Local Multiplayer,259,11416,44,999,84%,2850000,3:12
60,Controller,255,9190,36,799,85%,4500000,2:52
61,Replay Value,241,26066,108,999,86%,3300000,4:22
62,Memes,233,15822,68,399,84%,2400000,3:05
63,Building,232,61657,266,1499,77%,2100000,5:04
64,RTS,220,22840,104,999,83%,3600000,3:42
65,Fast-Paced,217,17417,80,599,86%,2400000,2:00
66,Crafting,216,71747,332,999,75%,3300000,6:13
67,Turn-Based Strategy,216,20679,96,999,80%,2100000,5:25
68,Side Scroller,214,8773,41,999,86%,1800000,3:24
